Miner Name,SN,MAC Address
10x12x0x2,DGAHH9UBEAAJA00JK,02:B1:9D:00:82:3D
10x12x0x3,DGAHH9ABEAJBD02RG,02:89:D1:45:DF:3A
10x12x0x4,DGAHH9ABEAAJA00SZ,02:0C:02:C2:9F:51
10x12x0x5,DGAHH9UBEAAJA00ME,02:8E:98:B5:5F:FE
10x12x0x6,DGAHH9UBEAJBD02HS,02:94:C0:9A:B2:F6
10x12x0x7,DGAHH9ABEAAJA00VR,02:84:B2:93:F0:DF
10x12x0x8,DGAHH9UBEAAJA0073,02:0B:35:5B:B0:2E
10x12x0x9,DGAHH9UBEAAJA00CB,02:AC:88:AE:7B:5E
10x12x0x10,DGAHH9UBEAAJA00AW,02:A9:87:1B:E8:0A
10x12x0x11,DGAHH9UBEAJBD02RA,02:93:F3:42:1A:B1
10x12x0x12,DGAHH9ABEAJBD02GW,02:93:71:42:E3:06
10x12x0x13,DGAHH9UBEAAJA00TY,02:11:FF:3B:64:23
10x12x0x14,DGAHH9UBEAJBD02HF,02:B1:6D:12:1E:2B
10x12x0x15,DGAHH9UBEAAJA004M,02:03:8F:7E:33:9A
10x12x0x16,DGAHH9ABEAAJA006E,02:34:8A:8F:39:74
10x12x0x17,DGAHH9ABEAJBD02S0,02:3C:C4:F8:AB:D4
10x12x0x18,DGAHH9ABEAAJA006B,02:3C:AC:C9:C4:CA
10x12x0x19,DGAHH9ABEAAJA007F,02:31:DB:04:0E:20
10x12x0x20,DGAHH9UBEAAJA00GN,02:96:BA:97:1D:59
10x12x0x21,DGAHH9UBEAAJA00W1,02:1C:6C:B3:AE:45
10x12x0x22,DGAHH9UBEAJBD02GF,02:26:5E:86:18:48
10x12x0x23,DGAHH9ABEAAJA007D,02:26:B0:E4:73:68
10x12x0x24,DGAHH9ABEAAJA00C6,02:B3:F3:76:77:2D
10x12x0x25,DGAHH9ABEAAJA0069,02:13:0F:0F:EB:BF
10x12x0x26,DGAHH9UBEAJBD02NS,02:84:1C:83:D3:4E
10x12x0x27,DGAHH9UBEAJBD02PZ,02:BB:27:70:47:39
10x12x0x28,DGAHH9UBEAAJA00MC,02:B4:E2:DB:FB:46
10x12x0x29,DGAHH9ABEAJBD02RD,02:34:BE:91:1A:5A
10x12x0x30,DGAHH9ABEAJBD02HT,02:A4:D2:C8:82:CD
10x12x0x31,DGAHH9ABEAJBD023L,02:14:A4:C8:67:71
10x12x0x32,DGAHH9UBEAAJA00CJ,02:9B:B5:07:0B:B0
10x12x0x33,DGAHH9UBEAAJA00CC,02:B4:8A:E1:55:FE
10x12x0x34,DGAHH9UBEAAJA004H,02:9B:23:79:42:94
10x12x0x35,DGAHH9UBEAAJA0076,02:0C:52:DC:D7:4E
10x12x0x36,DGAHH9UBEAJBD02HK,02:19:8B:11:93:36
10x12x0x37,DGAHH9ABEAJBD02GJ,02:AB:1B:37:75:AB
10x12x0x38,DGAHH9UBEAAJA008A,02:09:21:16:11:38
10x12x0x39,DGAHH9UBEAJBD02NR,02:91:75:35:01:AF
10x12x0x40,DGAHH9ABEAJBD02HD,02:23:41:06:B3:9A
10x12x0x41,DGAHH9UBEAAJA00P5,02:01:4B:22:1E:1A
10x12x0x42,DGAHH9ABEAAJA00VX,02:2C:60:D8:D4:69
10x12x0x43,DGAHH9ABEAJBD02SB,02:AC:26:8F:BE:F9
10x12x0x44,DGAHH9UBEAAJA00FB,02:94:30:87:C5:F1
10x12x0x45,DGAHH9UBEAAJA00SS,02:3E:F0:81:B9:E2
10x12x0x46,DGAHH9ABEAAJA006W,02:34:94:F8:0A:49
10x12x0x47,DGAHH9UBEAJBD02B4,02:BD:AB:81:2B:D0
10x12x0x48,DGAHH9ABEAAJA00C3,02:8C:0C:DD:D7:D5
10x12x0x49,DGAHH9UBEAAJA009T,02:AB:11:0F:D9:B9
10x12x0x50,DGAHH9UBEAJBD02RH,02:3B:65:52:A7:A2
10x12x0x51,DGAHH9UBEAAJA0079,02:01:83:5E:10:25
10x12x0x52,DGAHH9UBEAAJA00SV,02:0C:C4:A6:0A:C8
10x12x0x53,DGAHH9ABEAJBD02NK,02:21:13:63:8D:27
10x12x0x54,DGAHH9UBEAAJA00VZ,02:14:26:E1:EF:DF
10x12x0x55,DGAHH9ABEAAJA00P4,02:11:19:26:6B:3C
10x12x0x56,DGAHH9ABEAAJA00GW,02:0E:5E:F9:98:F0
10x12x0x57,DGAHH9ABEAJBD02NT,02:0C:B6:E5:1A:75
10x12x0x58,DGAHH9UBEAAJA007B,02:0B:7B:63:49:AE
10x12x0x59,DGAHH9ABEAAJA00M5,02:1C:1A:F3:01:77
10x12x0x60,DGAHH9ABEAJBD02JC,02:8D:59:CA:58:73
10x12x0x61,DGAHH9ABEAAJA00CF,02:04:B6:C2:DC:C8
10x12x0x62,DGAHH9UBEAAJA00GT,02:1C:C8:8E:96:5C
10x12x0x63,DGAHH9ABEAAJA00P3,02:03:51:31:2D:90
10x12x0x64,DGAHH9UBEAAJA002D,02:3E:24:81:D2:DC
10x12x0x65,DGAHH9UBEAJBD02GC,02:B6:22:BC:5A:42
10x12x0x66,DGAHH9ABEAAJA006Z,02:8C:3E:BB:B7:C1
10x12x0x67,DGAHH9ABEAAJA007F,02:3B:A9:45:1D:9F
10x12x0x68,DGAHH9ABEAAJA00PF,02:0B:B7:37:06:25
10x12x0x69,DGAHH9ABEAJBD02NL,02:B6:76:B1:79:FB
10x12x0x70,DGAHH9ABEAAJA001T,02:AE:42:B8:C4:D6
10x12x0x71,DGAHH9UBEAAJA00R1,02:3E:B2:B1:48:5F